Reference	Query
1.fa_orf00137	15.fa_orf00309_rev
1.fa_orf00138_rev	15.fa_orf01220_rev
1.fa_orf00139	15.fa_orf00028
1.fa_orf00140	15.fa_orf00889_rev
1.fa_orf00146_rev	15.fa_orf01209
1.fa_orf00147_rev	15.fa_orf00753_rev
1.fa_orf00148	15.fa_orf00550
1.fa_orf00149_rev	15.fa_orf00926_rev
1.fa_orf00150	15.fa_orf00602_rev
1.fa_orf00152_rev	15.fa_orf00427
1.fa_orf00154	15.fa_orf00985
1.fa_orf00157_rev	15.fa_orf01118_rev
1.fa_orf00158	15.fa_orf00858_rev
1.fa_orf00159_rev	15.fa_orf00568
1.fa_orf00161	15.fa_orf00012
1.fa_orf00162	15.fa_orf00501
1.fa_orf00170_rev	15.fa_orf00921
1.fa_orf00171	15.fa_orf00407_rev
1.fa_orf00174	15.fa_orf00954_rev
1.fa_orf00176	15.fa_orf00368_rev
1.fa_orf00179	15.fa_orf00545
1.fa_orf00180	15.fa_orf00957_rev
1.fa_orf00184_rev	15.fa_orf00210
1.fa_orf00185	15.fa_orf00128_rev
1.fa_orf00186	15.fa_orf00692_rev
1.fa_orf00187_rev	15.fa_orf01053_rev
1.fa_orf00188	15.fa_orf00606_rev
1.fa_orf00189_rev	15.fa_orf00112_rev
1.fa_orf00191_rev	15.fa_orf00649_rev
1.fa_orf00192	15.fa_orf00900_rev
1.fa_orf00193_rev	15.fa_orf01093_rev
1.fa_orf00194_rev	15.fa_orf01027_rev
1.fa_orf00196	15.fa_orf01019_rev
1.fa_orf00198_rev	15.fa_orf01073
1.fa_orf00205	15.fa_orf00199
1.fa_orf00208	15.fa_orf00214_rev
1.fa_orf00210	15.fa_orf01145_rev
1.fa_orf00212	15.fa_orf00060
1.fa_orf00213_rev	15.fa_orf00734_rev
1.fa_orf00215	15.fa_orf00937
1.fa_orf00223_rev	15.fa_orf00925_rev
1.fa_orf00226	15.fa_orf00108_rev
1.fa_orf00227	15.fa_orf00516
1.fa_orf00232_rev	15.fa_orf00191
1.fa_orf00234_rev	15.fa_orf00553
1.fa_orf00239	15.fa_orf00804
1.fa_orf00241	15.fa_orf00201
1.fa_orf00242_rev	15.fa_orf01092
1.fa_orf00243	15.fa_orf01100
1.fa_orf00246	15.fa_orf00318
1.fa_orf00247	15.fa_orf00452
1.fa_orf00250	15.fa_orf00284
1.fa_orf00254	15.fa_orf00958_rev
1.fa_orf00257_rev	15.fa_orf00897
1.fa_orf00260	15.fa_orf00782
1.fa_orf00264	15.fa_orf00502_rev
1.fa_orf00274_rev	15.fa_orf00576
1.fa_orf00275	15.fa_orf01041_rev
1.fa_orf00284	15.fa_orf00585
1.fa_orf00287	15.fa_orf00688_rev
1.fa_orf00292	15.fa_orf00119
1.fa_orf00294_rev	15.fa_orf00267_rev
1.fa_orf00295_rev	15.fa_orf00286_rev
1.fa_orf00296_rev	15.fa_orf00635
1.fa_orf00298_rev	15.fa_orf00537
1.fa_orf00300_rev	15.fa_orf01106
1.fa_orf00301	15.fa_orf00850
1.fa_orf00306_rev	15.fa_orf01155_rev
1.fa_orf00311_rev	15.fa_orf00920
1.fa_orf00317	15.fa_orf01057_rev
1.fa_orf00318_rev	15.fa_orf00828_rev
1.fa_orf00319_rev	15.fa_orf00396
1.fa_orf00322	15.fa_orf00701
1.fa_orf00324_rev	15.fa_orf00948
1.fa_orf00330	15.fa_orf00640_rev
1.fa_orf00331	15.fa_orf00141
1.fa_orf00333_rev	15.fa_orf01189_rev
1.fa_orf00339	15.fa_orf00880
1.fa_orf00342	15.fa_orf00624_rev
1.fa_orf00344	15.fa_orf00336
1.fa_orf00345_rev	15.fa_orf00911
1.fa_orf00348	15.fa_orf00250_rev
1.fa_orf00349	15.fa_orf00376
1.fa_orf00351_rev	15.fa_orf00134_rev
1.fa_orf00352	15.fa_orf01039_rev
1.fa_orf00354	15.fa_orf01120_rev
1.fa_orf00356	15.fa_orf00761
1.fa_orf00357	15.fa_orf00102
1.fa_orf00360	15.fa_orf00698_rev
1.fa_orf00361	15.fa_orf00043
1.fa_orf00366	15.fa_orf00663
1.fa_orf00368_rev	15.fa_orf00204
1.fa_orf00374_rev	15.fa_orf00343_rev
1.fa_orf00376_rev	15.fa_orf00380_rev
1.fa_orf00380_rev	15.fa_orf01111
1.fa_orf00384	15.fa_orf01011_rev
1.fa_orf00387_rev	15.fa_orf00909
1.fa_orf00389_rev	15.fa_orf00190
1.fa_orf00393	15.fa_orf00973
1.fa_orf00396	15.fa_orf00644
1.fa_orf00402_rev	15.fa_orf01195
1.fa_orf00406	15.fa_orf00053_rev
1.fa_orf00414_rev	15.fa_orf00719_rev
1.fa_orf00415	15.fa_orf00876_rev
1.fa_orf00417_rev	15.fa_orf00731_rev
1.fa_orf00420_rev	15.fa_orf00542_rev
1.fa_orf00422_rev	15.fa_orf00059
1.fa_orf00423_rev	15.fa_orf00230
1.fa_orf00429_rev	15.fa_orf00023
1.fa_orf00434_rev	15.fa_orf01164
1.fa_orf00435_rev	15.fa_orf00114_rev
1.fa_orf00446_rev	15.fa_orf01021
1.fa_orf00447	15.fa_orf00152_rev
1.fa_orf00448	15.fa_orf00260
1.fa_orf00451_rev	15.fa_orf00231
1.fa_orf00457	15.fa_orf00582_rev
1.fa_orf00458	15.fa_orf00812
1.fa_orf00463	15.fa_orf00832
1.fa_orf00465	15.fa_orf00813
1.fa_orf00466	15.fa_orf00074
1.fa_orf00468	15.fa_orf00258
1.fa_orf00469	15.fa_orf00623_rev
1.fa_orf00473	15.fa_orf01185
1.fa_orf00474	15.fa_orf00942
1.fa_orf00475	15.fa_orf00760_rev
1.fa_orf00481	15.fa_orf00095
1.fa_orf00482_rev	15.fa_orf00815
1.fa_orf00483	15.fa_orf00037
1.fa_orf00492	15.fa_orf01133
1.fa_orf00493	15.fa_orf00593
1.fa_orf00496	15.fa_orf01214
1.fa_orf00502	15.fa_orf00348
1.fa_orf00504_rev	15.fa_orf00432_rev
1.fa_orf00506_rev	15.fa_orf00823_rev
1.fa_orf00509	15.fa_orf00127_rev
1.fa_orf00511_rev	15.fa_orf00340
1.fa_orf00515	15.fa_orf00301
1.fa_orf00516_rev	15.fa_orf00849
1.fa_orf00518	15.fa_orf00684_rev
1.fa_orf00523	15.fa_orf00654
1.fa_orf00525_rev	15.fa_orf00724_rev
1.fa_orf00531	15.fa_orf00435_rev
1.fa_orf00532	15.fa_orf00189_rev
1.fa_orf00534_rev	15.fa_orf00840_rev
1.fa_orf00538	15.fa_orf00540_rev
1.fa_orf00541_rev	15.fa_orf00853_rev
1.fa_orf00552_rev	15.fa_orf01237
1.fa_orf00554	15.fa_orf01009_rev
1.fa_orf00562	15.fa_orf00224_rev
1.fa_orf00564	15.fa_orf00787_rev
1.fa_orf00568	15.fa_orf00263_rev
1.fa_orf00569_rev	15.fa_orf01070
1.fa_orf00571_rev	15.fa_orf00321
1.fa_orf00578	15.fa_orf01242
1.fa_orf00586	15.fa_orf01144_rev
1.fa_orf00597	15.fa_orf00259
1.fa_orf00599	15.fa_orf00898
1.fa_orf00604	15.fa_orf00559_rev
1.fa_orf00605	15.fa_orf00867_rev
1.fa_orf00606	15.fa_orf00289
