Reference	Query
1.fa_orf00317	21.fa_orf01953
1.fa_orf00318_rev	21.fa_orf01184_rev
1.fa_orf00319_rev	21.fa_orf02049_rev
1.fa_orf00323_rev	21.fa_orf01834_rev
1.fa_orf00324_rev	21.fa_orf01886
1.fa_orf00327	21.fa_orf01044
1.fa_orf00329	21.fa_orf01590_rev
1.fa_orf00331	21.fa_orf01556_rev
1.fa_orf00332_rev	21.fa_orf00827
1.fa_orf00333_rev	21.fa_orf00120_rev
1.fa_orf00336	21.fa_orf00707
1.fa_orf00339	21.fa_orf00854
1.fa_orf00341_rev	21.fa_orf00168
1.fa_orf00345_rev	21.fa_orf01496_rev
1.fa_orf00349	21.fa_orf01961_rev
1.fa_orf00352	21.fa_orf02045_rev
1.fa_orf00354	21.fa_orf02014_rev
1.fa_orf00356	21.fa_orf01984_rev
1.fa_orf00361	21.fa_orf00424
1.fa_orf00363_rev	21.fa_orf00677
1.fa_orf00364	21.fa_orf01729
1.fa_orf00365	21.fa_orf01500_rev
1.fa_orf00366	21.fa_orf00562
1.fa_orf00367	21.fa_orf00373
1.fa_orf00368_rev	21.fa_orf00861
1.fa_orf00369	21.fa_orf00304
1.fa_orf00375	21.fa_orf01520_rev
1.fa_orf00376_rev	21.fa_orf00932
1.fa_orf00377	21.fa_orf01225
1.fa_orf00384	21.fa_orf01146
1.fa_orf00386	21.fa_orf01045
1.fa_orf00389_rev	21.fa_orf01108
1.fa_orf00391_rev	21.fa_orf00588_rev
1.fa_orf00393	21.fa_orf01865
1.fa_orf00396	21.fa_orf00142
1.fa_orf00399	21.fa_orf01355_rev
1.fa_orf00401	21.fa_orf00547
1.fa_orf00402_rev	21.fa_orf01710_rev
1.fa_orf00414_rev	21.fa_orf00067
1.fa_orf00415	21.fa_orf02042_rev
1.fa_orf00417_rev	21.fa_orf01206_rev
1.fa_orf00420_rev	21.fa_orf01813_rev
1.fa_orf00421	21.fa_orf00256
1.fa_orf00429_rev	21.fa_orf00459
1.fa_orf00435_rev	21.fa_orf00875_rev
1.fa_orf00438	21.fa_orf00043
1.fa_orf00439_rev	21.fa_orf00877_rev
1.fa_orf00442	21.fa_orf00331
1.fa_orf00443_rev	21.fa_orf00629_rev
1.fa_orf00446_rev	21.fa_orf00774
1.fa_orf00447	21.fa_orf01964_rev
1.fa_orf00448	21.fa_orf01321_rev
1.fa_orf00451_rev	21.fa_orf01487
1.fa_orf00453_rev	21.fa_orf00128_rev
1.fa_orf00454	21.fa_orf00863
1.fa_orf00457	21.fa_orf01261_rev
1.fa_orf00460_rev	21.fa_orf01323
1.fa_orf00461	21.fa_orf01227
1.fa_orf00462	21.fa_orf01614_rev
1.fa_orf00463	21.fa_orf01802_rev
1.fa_orf00465	21.fa_orf00680
1.fa_orf00466	21.fa_orf02023_rev
1.fa_orf00468	21.fa_orf00797
1.fa_orf00469	21.fa_orf00637
1.fa_orf00471	21.fa_orf00755
1.fa_orf00473	21.fa_orf01156_rev
1.fa_orf00474	21.fa_orf01772_rev
1.fa_orf00477	21.fa_orf01101
1.fa_orf00479	21.fa_orf01778_rev
1.fa_orf00482_rev	21.fa_orf00529
1.fa_orf00483	21.fa_orf00756
1.fa_orf00484_rev	21.fa_orf00506
1.fa_orf00485	21.fa_orf00988
1.fa_orf00488_rev	21.fa_orf01271
1.fa_orf00490	21.fa_orf00141_rev
1.fa_orf00492	21.fa_orf00008
1.fa_orf00493	21.fa_orf00443
1.fa_orf00496	21.fa_orf00513_rev
1.fa_orf00501	21.fa_orf00296
1.fa_orf00502	21.fa_orf00646
1.fa_orf00507_rev	21.fa_orf02037
1.fa_orf00509	21.fa_orf01039
1.fa_orf00511_rev	21.fa_orf00364
1.fa_orf00515	21.fa_orf00813_rev
1.fa_orf00516_rev	21.fa_orf00158
1.fa_orf00518	21.fa_orf00693
1.fa_orf00523	21.fa_orf00497
1.fa_orf00524_rev	21.fa_orf00652
1.fa_orf00525_rev	21.fa_orf00343
1.fa_orf00530	21.fa_orf00976
1.fa_orf00531	21.fa_orf00850
1.fa_orf00532	21.fa_orf00302
1.fa_orf00534_rev	21.fa_orf01000
1.fa_orf00538	21.fa_orf01805
1.fa_orf00541_rev	21.fa_orf00012
1.fa_orf00551	21.fa_orf00087
1.fa_orf00552_rev	21.fa_orf01277_rev
1.fa_orf00561_rev	21.fa_orf00187_rev
1.fa_orf00562	21.fa_orf00955
1.fa_orf00564	21.fa_orf01259
1.fa_orf00565_rev	21.fa_orf00803_rev
1.fa_orf00567_rev	21.fa_orf00785
1.fa_orf00568	21.fa_orf00382
1.fa_orf00569_rev	21.fa_orf01006
1.fa_orf00571_rev	21.fa_orf00041
1.fa_orf00578	21.fa_orf01196_rev
1.fa_orf00591	21.fa_orf00053
1.fa_orf00594_rev	21.fa_orf01264
1.fa_orf00595_rev	21.fa_orf00993
1.fa_orf00596	21.fa_orf01762_rev
1.fa_orf00597	21.fa_orf01633
1.fa_orf00602	21.fa_orf00221
1.fa_orf00604	21.fa_orf02073_rev
